id,label,type,domain,domain_label,content,source_count
root,iPS自動培養ソフトウェア,root,,,患者血液→iPS樹立→維持/拡大→分化誘導→品質評価までを、画像判断・ロボット操作・規制対応を統合して自動制御するソフトウェアスタック。本マップはその実装に必要なドメイン知識の地図。,2
d1,細胞生物学・培養プロトコル,domain,d1,細胞生物学・培養プロトコル,自動化の対象そのもの。iPS細胞の樹立・維持・継代・分化誘導・量産の生物学的手順群で、各操作のパラメータが下流の制御変数になる。,1
d2,画像取得・コンピュータビジョン,domain,d2,画像取得・コンピュータビジョン,ラベルフリー画像から細胞状態を定量し、意思決定の入力を生成する層。コンフルエンシー・形態・分化の判定が中核。,1
d3,ロボティクス・液体ハンドリング,domain,d3,ロボティクス・液体ハンドリング,培養操作を物理的に実行する装置・ロボット層。汎用双腕と閉鎖型専用機の二系統がある。,2
d4,プロセス制御・自律最適化,domain,d4,プロセス制御・自律最適化,観察→判断→操作の閉ループと、プロトコル最適化（ベイズ最適化等）を担う制御知能の層。,2
d5,ソフトウェア基盤・相互運用,domain,d5,ソフトウェア基盤・相互運用,デバイス統合標準・ワークフローオーケストレーション・データ基盤。異種機器を跨ぐ統合の土台。,2
d6,GMP・規制・データインテグリティ,domain,d6,GMP・規制・データインテグリティ,製造ソフトが満たすべき規制・品質・電子記録の要件群。設計の制約条件を規定する。,2
d7,センサ・環境モニタリング,domain,d7,センサ・環境モニタリング,培養環境・無菌性の連続計測と、閉ループ制御への状態量供給。エッジ実装で分散計測。,1
d8,エコシステム・プレイヤー,domain,d8,エコシステム・プレイヤー,財団・企業・装置など実在の担い手と製品。技術選定とパートナリングの地図。,2
maint,iPSC維持培養,concept,d1,細胞生物学・培養プロトコル,未分化状態を保つ日々の培地交換と環境維持。ヒトiPSは毎日の培地交換と約3日ごとの継代が必要で、熟練手技に依存する点が自動化の主対象。,2
passage,継代（剥離・分散）,concept,d1,細胞生物学・培養プロトコル,コロニーを剥離し新プレートへ植え継ぐ工程。単一細胞分散かクランプ維持か、ROCK阻害剤(Y-27632)添加、シェアストレス管理が品質を左右する。,2
feeder,フィーダーフリー培養,concept,d1,細胞生物学・培養プロトコル,フィーダー細胞を用いず基質コート上で培養する方式。臨床・自動化に適し、画像解析でも背景が単純化しやすい。,1
