id,label,type,domain,domain_label,content,source_count
aggregate_formation_model,凝集体形成動力学モデル,concept,d1,細胞生物学・培養プロトコル,凝集体の形成・合体・破砕を表す動的サブモデル。撹拌速度・細胞密度と凝集体径の関係を追加する拡張。,0
alcoa,ALCOA+ データインテグリティ,concept,d6,GMP・規制・データインテグリティ,帰属性・判読性・同時性・原本性・正確性＋αを全ライフサイクルで満たす原則。製造/解析で生成する全データが従うべき設計要件。,1
alert_matrix,アラート/通知マトリクス,concept,d4,プロセス制御・自律最適化,各イベントの優先度（P0-P3）、抑制窓、通知チャネル、既定動作を定義したマトリクス。contamination_suspected は抑制不可（0 s）、BO 提案は run 単位（86400 s）など。,2
approval_log,承認記録,concept,d6,GMP・規制・データインテグリティ,Human-on-the-loopにおけるrequested→approved/rejected/timeout→executed/cancelledの承認状態遷移を記録する監査証跡。,1
approval_request_event,承認要求イベント,concept,d4,プロセス制御・自律最適化,承認ワークフローで発行されるイベント型。request_id、提案アクション、根拠、要求時刻、レビュー、決定、実行結果を含む。event_store に append-only で記録。,1
approval_workflow,Human-on-the-loop 承認ワークフロー,concept,d4,プロセス制御・自律最適化,"requested → pending → approved/rejected/timeout → executed/cancelled の状態遷移。タイムアウト時は安全側に倒す。

[merged from multiple agents]
L1/L2/L3 が自律実行しようとする包絡線外・重大アクションに対し、研究者の明示承認を得てから実行する状態遷移機構。requested → approved/rejected/pending_timeout → executed/cancelled。承認結果は監査証跡に不変ログ化される。",2
astellas,アステラス製薬（双腕ロボ）,player,d8,エコシステム・プレイヤー,双腕ロボットでiPS培養を自動化し、治験用供給を企図。製薬側からの製造自動化プレイヤー。,1
audit,監査証跡（Audit Trail）,concept,d6,GMP・規制・データインテグリティ,誰が・いつ・何を変更したかを追える記録。データインテグリティとPart11準拠の中核で、全操作のロギング設計が必要。,1
audit_schema,監査ログスキーマ,concept,d6,GMP・規制・データインテグリティ,副作用ツール呼び出し、承認状態遷移、センサ取り込み、システム状態変化をALCOA+/Part11準拠で記録するための構造化ログスキーマ。,1
audit_ui,監査/EBR UI,concept,d6,GMP・規制・データインテグリティ,event_store から 1 培養ランの操作ログ・イベント・承認履歴を検索/エクスポートするビュー。ALCOA+ と EBR 再構成を支援。,2
ax_bayesian,Ax Bayesian optimization,system,d4,プロセス制御・自律最適化,Meta が開発する高レベルベイズ最適化プラットフォーム。制約付き BO、バッチ BO、多忠実度をサポートし、auto_cell L2 の実装候補。,0
batch_bo,バッチ BO,concept,d4,プロセス制御・自律最適化,複数バイオリアクタを並行運転するためのバッチ取得関数（qEI/qNEHVI）に基づく実験計画。,0
