node_id,node_label,node_type,source_title,source_url
root,iPS自動培養ソフトウェア,root,iPS財団 My iPSプロジェクト（自家細胞を自動作製）,https://www.nikkan.co.jp/articles/view/00745986
root,iPS自動培養ソフトウェア,root,my iPSプロジェクト（iPS財団 公式）,https://www.cira-foundation.or.jp/j/about/project/myips/
d1,細胞生物学・培養プロトコル,domain,CiRA ヒトiPS細胞 培養プロトコール集,https://www.cira.kyoto-u.ac.jp/j/research/protocol.html
d2,画像取得・コンピュータビジョン,domain,Deep learning for label-free monitoring of iPSC & organoids,https://www.moleculardevices.com/en/assets/app-note/dd/img/deep-learning-based-image-analysis-for-label-free-live-monitoring-of-ipsc-and-3d-organoid-cultures
d3,ロボティクス・液体ハンドリング,domain,"Robotic search for optimal cell culture（Kanda et al., eLife 2022）",https://elifesciences.org/articles/77007
d3,ロボティクス・液体ハンドリング,domain,Long-term iPSC maintenance by automated culture system（Konagaya 2015）,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4647834/
d4,プロセス制御・自律最適化,domain,"Robotic search for optimal cell culture（Kanda et al., eLife 2022）",https://elifesciences.org/articles/77007
d4,プロセス制御・自律最適化,domain,ヒューマノイドロボットとAIによる自律細胞培養（理研 2020）,https://www.riken.jp/press/2020/20201204_1/index.html
d5,ソフトウェア基盤・相互運用,domain,"SiLA 2 FAQ（HTTP/2 + Protocol Buffers, OPC-UA比較）",https://sila-standard.com/faq/
d5,ソフトウェア基盤・相互運用,domain,The SiLA 2 Manager（device discovery / data integrity）,https://www.sciencedirect.com/science/article/pii/S2352711022000103
d6,GMP・規制・データインテグリティ,domain,GCTP適合性調査（PMDA）,https://www.pmda.go.jp/review-services/gmp-qms-gctp/gctp/0002.html
d6,GMP・規制・データインテグリティ,domain,"Cell & Gene Therapy QC/QA（ALCOA, Part 11, CAPA）",https://www.cellandgene.com/topic/cell-gene-therapy-qa-qc
d7,センサ・環境モニタリング,domain,Long-term iPSC maintenance by automated culture system（Konagaya 2015）,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4647834/
